call_oi,strike,source,ltp,put_oi,call_put_oi_ratio,index_name,ltp_strike_ratio
84300,2800,call,2793.85,62100,1.357,CUMMINSIND,0.998
136800,1300,call,1201.75,39200,3.49,KPITTECH,0.924
106575,7400,call,7373.35,21075,5.057,COFORGE,0.996
88900,2500,call,2420,73150,1.215,COLPAL,0.968
99300,1500,call,1239,6600,15.045,CYIENT,0.826
753000,520,call,498.95,878000,0.858,LICHSGFIN,0.96
780000,700,call,620.45,299000,2.609,CONCOR,0.886
338675,750,call,731.95,319125,1.061,LICI,0.976
892500,550,call,490,103750,8.602,DABUR,0.891
594000,330,call,327.85,523800,1.134,CROMPTON,0.993
59950,1700,call,1707.55,47025,1.275,DALBHARAT,1.004
210000,2000,call,1840.4,46500,4.516,DEEPAKNTR,0.92
105600,5200,call,4771.9,19200,5.5,LTIM,0.918
671000,260,call,253.4,436150,1.538,DELHIVERY,0.975
43500,5000,call,4563.95,8500,5.118,LTTS,0.913
129100,6000,call,5505.4,16500,7.824,DIVISLAB,0.918
111500,15000,call,14330.1,17000,6.559,DIXON,0.955
1579050,700,call,642.65,495825,3.185,DLF,0.918
184650,4000,call,3424.6,3450,53.522,DMART,0.856
660625,1200,call,1117.35,156250,4.228,DRREDDY,0.931
194075,5000,call,4914.65,92050,2.108,EICHERMOT,0.983
104225,2600,call,2259.65,22825,4.566,MPHASIS,0.869
1715,110000,call,104639.35,725,2.366,MRF,0.951
51300,3000,call,2947.8,22200,2.311,ESCORTS,0.983
932400,400,call,347.5,246600,3.781,EXIDEIND,0.869
4320000,200,call,178.75,1490000,2.899,FEDERALBNK,0.894
2491000,160,call,157.28,1706100,1.46,GAIL,0.983
134225,1400,call,1303.45,13325,10.073,GLENMARK,0.931
1339800,80,call,73.81,957000,1.4,NBCC,0.923
7003125,70,call,69.81,4241250,1.651,GMRAIRPORT,0.997
167000,1100,call,999.4,19500,8.564,GODREJCP,0.909
247050,2100,call,1978.65,99000,2.495,GODREJPROP,0.942
338000,520,call,469.9,156000,2.167,GRANULES,0.904
681450,180,call,160.5,17700,38.5,NYKAA,0.892
230250,2400,call,2373.6,98500,2.338,GRASIM,0.989
536400,3500,call,3166.3,163350,3.284,HAL,0.905
819000,1440,call,1435.05,271000,3.022,HAVELLS,0.997
186550,1600,call,1502.35,79100,2.358,OBEROIRLTY,0.939
74100,8500,call,7829.45,8100,9.148,OFSS,0.921
555775,450,call,344,23650,23.5,OIL,0.764
380100,1800,call,1580.55,49000,7.757,HCLTECH,0.878
62700,3800,call,3721.6,45000,1.393,HDFCAMC,0.979
215700,1800,call,1724.3,9900,21.788,PATANJALI,0.958
2410650,1800,call,1705,711150,3.39,HDFCBANK,0.947
1359600,620,call,616.4,358600,3.791,HDFCLIFE,0.994
304050,3800,call,3630.05,110850,2.743,HEROMOTOCO,0.955
2780500,100,call,80.99,713800,3.895,HFCL,0.81
114700,6000,call,5257.75,12600,9.103,PERSISTENT,0.876
2550800,650,call,633.85,837200,3.047,HINDALCO,0.975
636000,220,call,202.66,243800,2.609,HINDCOPPER,0.921
2039175,310,call,297.85,1650375,1.236,HINDPETRO,0.961
752100,2300,call,2170.65,341400,2.203,HINDUNILVR,0.944
2500175,180,call,165.7,797825,3.134,HUDCO,0.921
1906800,1300,call,1213.7,1247400,1.529,ICICIBANK,0.934
57750,3100,call,2989.15,26000,2.221,PIIND,0.964
62000,1720,call,1667.9,23250,2.667,ICICIGI,0.97
161250,560,call,554,133500,1.208,ICICIPRULI,0.989
126400000,8,call,7.46,74600000,1.694,IDEA,0.932
14175000,60,call,57.96,8572500,1.654,IDFCFIRSTB,0.966
3273750,170,call,155.25,1110000,2.949,IEX,0.913
564625,5500,call,4927.85,37625,15.007,POLYCAB,0.896
1795750,210,call,187.82,401500,4.473,IGL,0.894
785000,800,call,726,182000,4.313,INDHOTEL,0.907
311675,1150,call,1155.05,24375,12.787,PRESTIGE,1.004
145350,620,call,502.1,0,145350.0,INDIANB,0.81
221700,4500,call,4448.8,139800,1.586,INDIGO,0.989
2033000,1100,call,975.85,781500,2.601,INDUSINDBK,0.887
1684700,360,call,326.4,1366800,1.233,INDUSTOWER,0.907
1338000,1900,call,1712.45,279600,4.785,INFY,0.901
6990750,120,call,114.16,4992000,1.4,IOC,0.951
7140000,800,call,692.1,4503750,1.585,SBIN,0.865
4786750,50,call,42.84,902000,5.307,IRB,0.857
1174250,750,call,671.65,539000,2.179,IRCTC,0.896
6436650,130,call,111.19,627450,10.258,IRFC,0.855
739500,620,call,621.15,597000,1.239,SHRIRAMFIN,1.002
3601600,400,call,397.4,2716800,1.326,ITC,0.993
102600,5500,call,4792,11325,9.06,SIEMENS,0.871
778125,880,call,862.7,348750,2.231,JINDALSTEL,0.98
6266700,230,call,202.54,1579050,3.969,JIOFIN,0.881
12250,4800,call,4425.8,125,98.0,JKCEMENT,0.922
126325,700,call,591.75,14725,8.579,JSL,0.845
726750,500,call,460.7,78750,9.229,JSWENERGY,0.921
665550,1000,call,973.95,206550,3.222,JSWSTEEL,0.974
805000,650,call,618.55,182500,4.411,JUBLFOOD,0.952
817625,500,call,446.8,144925,5.642,KALYANKJIL,0.894
331800,4000,call,3133.75,1050,316.0,KEI,0.783
922800,2000,call,1915.95,209600,4.403,KOTAKBANK,0.958
15125,3700,call,3473.35,4000,3.781,SUPREMEIND,0.939
1394000,600,call,532.75,161500,8.632,LAURUSLABS,0.888
